timestamp,vrms,irms,realPower,powerFactor,device_label
2026-05-18T08:00:16Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:18Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:18Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:24Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:24Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:29Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:29Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:31Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:33Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:35Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:37Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:45Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:45Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:50Z,0.0,0.00,0.0,0.00,Idle
2026-05-18T08:00:55Z,228.4,0.06,6.3,0.46,phone
2026-05-18T08:00:57Z,228.3,0.07,8.1,0.48,phone
2026-05-18T08:00:59Z,228.3,0.07,7.4,0.46,phone
2026-05-18T08:01:01Z,228.4,0.08,8.4,0.47,phone
2026-05-18T08:01:03Z,228.4,0.08,8.5,0.47,phone
2026-05-18T08:01:07Z,228.4,0.00,0.8,1.00,phone
2026-05-18T08:01:08Z,228.4,0.08,8.5,0.47,phone
2026-05-18T08:01:11Z,228.4,0.08,8.6,0.48,phone
2026-05-18T08:01:14Z,228.3,0.07,8.1,0.48,phone
2026-05-18T08:01:14Z,228.4,0.06,6.9,0.46,phone
2026-05-18T08:01:16Z,228.4,0.06,6.9,0.46,phone
2026-05-18T08:01:18Z,228.3,0.07,6.9,0.46,phone
2026-05-18T08:01:20Z,228.3,0.07,7.0,0.46,phone
2026-05-18T08:01:22Z,228.2,0.07,6.8,0.45,phone
2026-05-18T08:01:24Z,228.3,0.06,6.9,0.46,phone
2026-05-18T08:01:29Z,228.2,0.06,6.8,0.46,phone
2026-05-18T08:01:29Z,228.3,0.06,6.9,0.46,phone
2026-05-18T08:01:39Z,228.4,0.07,6.9,0.46,phone
2026-05-18T08:01:48Z,228.3,0.06,6.8,0.46,phone
2026-05-18T08:01:48Z,228.3,0.06,6.7,0.45,phone
2026-05-18T08:01:49Z,228.4,0.06,6.8,0.46,phone
2026-05-18T08:02:15Z,228.3,0.06,6.8,0.46,phone
2026-05-18T08:02:16Z,228.4,0.06,6.8,0.46,phone
2026-05-18T08:02:26Z,228.3,0.06,6.7,0.45,phone
2026-05-18T08:02:27Z,228.2,0.06,6.7,0.45,phone
2026-05-18T08:02:36Z,228.3,0.06,6.9,0.46,phone
2026-05-18T08:02:36Z,228.3,0.06,6.9,0.46,phone
2026-05-18T08:02:39Z,228.4,0.06,6.8,0.46,phone
2026-05-18T08:02:40Z,228.4,0.06,6.8,0.46,phone
2026-05-18T08:02:57Z,228.4,0.06,6.9,0.46,phone
2026-05-18T08:03:43Z,228.9,0.07,6.8,0.45,phone
2026-05-18T08:03:43Z,228.9,0.07,6.9,0.46,phone
2026-05-18T08:03:46Z,228.9,0.07,6.8,0.45,phone
2026-05-18T08:03:52Z,228.9,0.06,6.9,0.46,phone
2026-05-18T08:03:54Z,228.8,0.07,6.9,0.46,phone
2026-05-18T08:03:54Z,228.8,0.06,6.9,0.46,phone
2026-05-18T08:03:55Z,228.8,0.07,6.9,0.46,phone
2026-05-18T08:03:57Z,228.8,0.07,6.8,0.45,phone
2026-05-18T08:03:59Z,228.6,0.07,6.9,0.46,phone
2026-05-18T08:04:01Z,228.7,0.07,6.9,0.46,phone
2026-05-18T08:04:01Z,228.8,0.07,6.8,0.45,phone
2026-05-18T08:04:03Z,228.8,0.07,6.8,0.45,phone
2026-05-18T08:04:10Z,228.8,0.07,6.9,0.45,phone
2026-05-18T08:04:15Z,228.8,0.07,6.8,0.45,phone
2026-05-18T08:04:16Z,228.7,0.06,6.8,0.46,phone
