timestamp,vrms,irms,realPower,powerFactor,device_label
2026-05-19T05:18:43Z,225.1,0.04,7.6,0.89,fan
2026-05-19T05:18:45Z,225.3,0.04,7.6,0.91,fan
2026-05-19T05:18:47Z,225.4,0.04,7.6,0.89,fan
2026-05-19T05:18:49Z,225.4,0.04,7.7,0.90,fan
2026-05-19T05:18:54Z,225.1,0.04,7.7,0.90,fan
2026-05-19T05:18:54Z,225.5,0.04,7.6,0.89,fan
2026-05-19T05:18:56Z,221.2,0.04,7.2,0.90,fan
2026-05-19T05:18:58Z,223.0,0.04,7.4,0.92,fan
2026-05-19T05:19:00Z,223.1,0.04,7.5,0.91,fan
2026-05-19T05:19:02Z,223.3,0.04,7.7,0.93,fan
2026-05-19T05:19:04Z,225.7,0.04,7.7,0.90,fan
2026-05-19T05:19:06Z,225.6,0.04,7.8,0.91,fan
2026-05-19T05:19:08Z,225.5,0.04,7.7,0.90,fan
2026-05-19T05:19:10Z,225.4,0.04,7.7,0.90,fan
2026-05-19T05:19:12Z,225.4,0.04,7.6,0.91,fan
2026-05-19T05:19:14Z,225.3,0.04,7.5,0.90,fan
2026-05-19T05:19:16Z,225.2,0.04,7.8,0.91,fan
2026-05-19T05:19:18Z,225.4,0.04,7.8,0.91,fan
2026-05-19T05:19:20Z,225.3,0.04,7.6,0.91,fan
2026-05-19T05:19:22Z,225.5,0.04,7.5,0.90,fan
2026-05-19T05:19:24Z,225.3,0.04,7.8,0.91,fan
2026-05-19T05:19:26Z,219.2,0.04,7.2,0.91,fan
2026-05-19T05:19:28Z,222.8,0.04,7.4,0.92,fan
2026-05-19T05:19:30Z,222.7,0.04,7.4,0.92,fan
2026-05-19T05:19:32Z,222.7,0.04,7.4,0.92,fan
2026-05-19T05:19:34Z,222.6,0.04,7.4,0.92,fan
2026-05-19T05:19:36Z,225.5,0.04,7.7,0.90,fan
2026-05-19T05:19:38Z,225.4,0.04,7.7,0.90,fan
2026-05-19T05:19:40Z,225.3,0.04,7.6,0.91,fan
2026-05-19T05:19:42Z,225.4,0.04,7.7,0.92,fan
2026-05-19T05:19:44Z,225.5,0.04,7.6,0.91,fan
2026-05-19T05:19:46Z,225.6,0.04,7.8,0.91,fan
2026-05-19T05:19:48Z,225.5,0.04,7.8,0.91,fan
2026-05-19T05:19:50Z,225.3,0.04,7.7,0.90,fan
2026-05-19T05:19:52Z,225.5,0.04,7.6,0.91,fan
2026-05-19T05:19:54Z,225.5,0.04,7.6,0.91,fan
2026-05-19T05:19:56Z,225.5,0.04,7.5,0.90,fan
2026-05-19T05:19:58Z,219.3,0.04,7.2,0.91,fan
2026-05-19T05:20:00Z,223.0,0.04,7.4,0.90,fan
2026-05-19T05:20:02Z,223.1,0.04,7.5,0.91,fan
2026-05-19T05:20:04Z,225.7,0.04,7.7,0.90,fan
2026-05-19T05:20:06Z,225.7,0.04,7.6,0.89,fan
